french_name;species;minYear;maxYear;estimate;se;infIC;supIC;GR;infGR;supGR;perc;infPerc;supPerc;pval;trend;trendEBCC;Protocole;Espece;Comparaison
Cigogne blanche;Cigogne blanche;2019;2023;0.229885811;0.134706004;-0.034137956;0.493909579;1.2584563;0.966438169;1.63871038;150.80%;-12.80%;621.10%;0.087901196;Incertain;Incertain;ODJ;autre;Incertain
Corbeau freux;Corbeau freux;2014;2023;-0.071809141;0.050285229;-0.17036819;0.026749907;0.930708513;0.843354245;1.027110898;-47.60%;-78.40%;27.20%;0.153281359;Incertain;Incertain;ODJ;autre;Incertain
Corbeau freux;Corbeau freux;2014;2023;0.011240256;0.020314711;-0.028576577;0.05105709;1.011303665;0.971827871;1.052382972;10.60%;-22.70%;58.30%;0.580053734;Incertain;Incertain;STOC;autre;Incertain
Corneille noire;Corneille noire;2014;2023;0.000393326;0.003038182;-0.005561511;0.006348163;1.000393404;0.994453926;1.006368356;0.40%;-4.90%;5.90%;0.896992862;Stable;Stable;STOC;odj;Similaire
Corneille noire;Corneille noire;2014;2023;0.010484834;0.005537828;-0.00036931;0.021338977;1.010539992;0.999630758;1.021568281;9.90%;-0.30%;21.20%;0.058316475;Stable;Stable;ODJ;odj;Similaire
Coucou gris;Coucou gris;2014;2023;0.030771516;0.024164757;-0.016591408;0.078134439;1.031249852;0.983545472;1.081268013;31.90%;-13.90%;102%;0.202874459;Incertain;Incertain;ODJ;autre;Incertain
Coucou gris;Coucou gris;2014;2023;-0.002274241;0.003390466;-0.008919554;0.004371072;0.997728343;0.991120107;1.004380639;-2%;-7.70%;4%;0.502363565;Stable;Stable;STOC;autre;Incertain
Faisan de Colchide;Faisan de Colchide;2014;2023;0.052028702;0.042590544;-0.031448765;0.135506169;1.053405977;0.969040604;1.14511626;59.70%;-24.70%;238.60%;0.221858102;Incertain;Incertain;ODJ;autre;Incertain
Faisan de Colchide;Faisan de Colchide;2014;2023;0.009702291;0.006287338;-0.002620892;0.022025473;1.00974951;0.997382539;1.022269825;9.10%;-2.30%;21.90%;0.122794975;Stable;Stable;STOC;autre;Incertain
Faucon crÃ©cerelle;Faucon crÃ©cerelle;2014;2023;0.0261451;0.00540378;0.01555369;0.036736509;1.026489881;1.015675279;1.037419634;26.50%;15%;39.20%;1.31E-06;Augmentation modérée;Augmentation modérée;STOC;autre;Incertain
Faucon crÃ©cerelle;Faucon crÃ©cerelle;2014;2023;0.017956584;0.026166523;-0.033329802;0.069242969;1.018118772;0.967219516;1.071696567;17.50%;-25.90%;86.50%;0.492560125;Incertain;Incertain;ODJ;autre;Incertain
Fauvette Ã  tÃªte noire;Fauvette Ã  tÃªte noire;2014;2023;0.004235855;0.006015503;-0.00755453;0.016026241;1.004244839;0.992473933;1.01615535;3.90%;-6.60%;15.50%;0.481335327;Stable;Stable;ODJ;odj;Different
Fauvette Ã  tÃªte noire;Fauvette Ã  tÃªte noire;2014;2023;0.009219941;0.001704952;0.005878235;0.012561647;1.009262576;1.005895546;1.012640876;8.70%;5.40%;12%;6.38E-08;Augmentation modérée;Augmentation modérée;STOC;odj;Different
Fauvette des jardins;Fauvette des jardins;2014;2023;-0.008337089;0.039904215;-0.08654935;0.069875171;0.991697568;0.917090289;1.07237431;-7.20%;-54.10%;87.60%;0.834504804;Incertain;Incertain;ODJ;autre;Incertain
Fauvette des jardins;Fauvette des jardins;2014;2023;-0.02961731;0.006300959;-0.041967188;-0.017267431;0.970816985;0.958901243;0.982880797;-23.40%;-31.50%;-14.40%;2.60E-06;Déclin modéré;Déclin modéré;STOC;autre;Incertain
Fauvette grisette;Fauvette grisette;2014;2023;0.041583688;0.046788232;-0.050121247;0.133288622;1.042460399;0.951114098;1.142579724;45.40%;-36.30%;231.90%;0.374130026;Incertain;Incertain;ODJ;autre;Incertain
Fauvette grisette;Fauvette grisette;2014;2023;-0.012754318;0.003820365;-0.020242232;-0.005266403;0.987326674;0.979961266;0.99474744;-10.80%;-16.70%;-4.60%;0.000842297;Déclin modéré;Déclin modéré;STOC;autre;Incertain
Fauvette mÃ©lanocÃ©phale;Fauvette mÃ©lanocÃ©phale;2014;2023;0.051808656;0.046576996;-0.039482256;0.143099568;1.053174205;0.961287011;1.153844682;59.40%;-29.90%;262.50%;0.26599937;Incertain;Incertain;ODJ;autre;Incertain
Fauvette mÃ©lanocÃ©phale;Fauvette mÃ©lanocÃ©phale;2014;2023;0.074790046;0.019583247;0.036406883;0.113173209;1.077657868;1.037077729;1.11982588;96%;38.80%;176.90%;0.000133949;Augmentation forte;Augmentation modérée;STOC;autre;Incertain
Gallinule poule-d'eau;Gallinule poule-d'eau;2014;2023;-0.022125829;0.009524111;-0.040793086;-0.003458572;0.978117152;0.960027753;0.996547402;-18.10%;-30.70%;-3.10%;0.020171707;Déclin modéré;Déclin modéré;STOC;autre;Incertain
Gallinule poule-d'eau;Gallinule poule-d'eau;2014;2023;0.012201747;0.04545734;-0.07689464;0.101298134;1.012276492;0.925987411;1.10660651;11.60%;-49.90%;148.90%;0.788374557;Incertain;Incertain;ODJ;autre;Incertain
Geai des chÃªnes;Geai des chÃªnes;2014;2023;-0.014498201;0.003309175;-0.020984183;-0.008012218;0.985606392;0.979234453;0.992019794;-12.20%;-17.20%;-7%;1.18E-05;Déclin modéré;Déclin modéré;STOC;odj;Oppose
Geai des chÃªnes;Geai des chÃªnes;2014;2023;0.017400151;0.008369989;0.000994973;0.03380533;1.017552416;1.000995469;1.034383223;17%;0.90%;35.60%;0.03762894;Augmentation modÃ©rÃ©e;Augmentation modÃ©rÃ©e;ODJ;odj;Oppose
Gobemouche gris;Gobemouche gris;2014;2023;-0.052577978;0.02109734;-0.093928764;-0.011227193;0.948780334;0.910347609;0.988835597;-37.70%;-57.10%;-9.60%;0.012696828;DÃ©clin modÃ©rÃ© Ã  fort;DÃ©clin modÃ©rÃ©;ODJ;autre;Incertain
Gobemouche gris;Gobemouche gris;2014;2023;0.017364743;0.014036208;-0.010146225;0.044875711;1.017516386;0.989905074;1.045897858;16.90%;-8.70%;49.80%;0.216035417;Incertain;Stable;STOC;autre;Incertain
Grimpereau des jardins;Grimpereau des jardins;2014;2023;0.024690269;0.003775568;0.017290155;0.032090383;1.024997598;1.017440495;1.032610831;24.90%;16.80%;33.50%;6.17E-11;Augmentation modérée;Augmentation modérée;STOC;odj;Similaire
Grimpereau des jardins;Grimpereau des jardins;2014;2023;0.039109173;0.017985411;0.003857768;0.074360578;1.039884005;1.003865219;1.077195148;42.20%;3.50%;95.30%;0.029668032;Augmentation modÃ©rÃ©e Ã  forte;Augmentation modÃ©rÃ©e;ODJ;odj;Similaire
Grive draine;Grive draine;2014;2023;0.003274865;0.021238143;-0.038351896;0.044901626;1.003280234;0.962374226;1.045924963;3%;-29.20%;49.80%;0.877454134;Incertain;Stable;ODJ;odj;Incertain
Grive draine;Grive draine;2014;2023;0.006101138;0.005361747;-0.004407887;0.016610162;1.006119788;0.995601814;1.016748878;5.60%;-3.90%;16.10%;0.255161815;Stable;Stable;STOC;odj;Incertain
Grive musicienne;Grive musicienne;2014;2023;0.000660443;0.009948228;-0.018838084;0.02015897;1.000660661;0.981338244;1.020363534;0.60%;-15.60%;19.90%;0.9470689;Stable;Stable;ODJ;odj;Different
