",""french_name"",""species"",""minYear"",""maxYear"",""estimate"",""se"",""infIC"",""supIC"",""GR"",""infGR"",""supGR"",""perc"",""infPerc"",""supPerc"",""pval"",""trend"",""trendEBCC"""
"97,""Cincle plongeur"",""CINCIN"",2014,2023,-0.0307219612515862,0.0497113773221361,-0.128156260802973,0.0667123382998005,0.969745162327374,0.879715903290444,1.06898792705679,""-24.2%"",""-68.4%"",""+82.3%"",0.536570961872751,""Incertain"",""Incertain"""
"98,""Troglodyte mignon"",""TROTRO"",2014,2023,-0.0367824796793322,0.00558705131404306,-0.0477331002548566,-0.0258318591038079,0.963885777290899,0.953388212193852,0.974498928957569,""-28.2%"",""-34.9%"",""-20.7%"",4.59430113010026e-11,""Déclin modéré"",""Déclin modéré"""
"99,""Foulque macroule"",""FULATR"",2014,2023,-0.0386519490187941,0.0396255827278353,-0.116318091165351,0.0390141931277631,0.962085505684113,0.890192016041228,1.03978524135021,""-29.4%"",""-64.9%"",""+42.1%"",0.329347423264166,""Incertain"",""Incertain"""
"100,""Grèbe huppé"",""PODCRI"",2014,2023,-0.0423823035079648,0.0439114177267348,-0.128448682252365,0.0436840752364355,0.958503271355034,0.879458693099671,1.04465227122859,""-31.7%"",""-68.5%"",""+48.2%"",0.334456015756171,""Incertain"",""Incertain"""
"101,""Grosbec casse-noyaux"",""COCCOC"",2014,2023,-0.0431828673378237,0.0190143895925024,-0.0804510709391284,-0.00591466373651894,0.957736235376782,0.922700049326158,0.994102793452281,""-32.2%"",""-51.5%"",""-5.2%"",0.0231431941435265,""Déclin modéré à fort"",""Déclin modéré"""
"102,""Bruant fou"",""EMBCIA"",2014,2023,-0.0457774568926632,0.0464841908671581,-0.136886470992293,0.0453315572069667,0.955254523847806,0.872069225666185,1.04637473548573,""-33.8%"",""-70.8%"",""+50.4%"",0.324724162563499,""Incertain"",""Incertain"""
"103,""Serin cini"",""SERSER"",2014,2023,-0.0461629389629089,0.0325508570129435,-0.109962618708278,0.0176367407824603,0.954886361320927,0.895867623359584,1.01779318647253,""-34%"",""-62.8%"",""+17.2%"",0.156138537209789,""Incertain"",""Incertain"""
"104,""Fauvette pitchou"",""SYLUND"",2014,2023,-0.0602046794307953,0.0418991247765748,-0.142326963992882,0.0219176051312914,0.941571793481212,0.867337621947252,1.0221595602979,""-41.8%"",""-72.2%"",""+21.8%"",0.150747583063067,""Incertain"",""Incertain"""
"105,""Bruant jaune"",""EMBCIT"",2014,2023,-0.0613648426545352,0.0256984179659273,-0.111733741867753,-0.0109959434413176,0.940480049936714,0.894282335748234,0.989064290964568,""-42.4%"",""-63.4%"",""-9.4%"",0.0169456866623893,""Déclin modéré à fort"",""Déclin modéré"""
"106,""Verdier d'Europe"",""CARCHL"",2014,2023,-0.0644009511730277,0.0135012101266825,-0.0908633230213254,-0.03793857932473,0.937628980713492,0.913142507929714,0.962772073186074,""-44%"",""-55.9%"",""-28.9%"",1.84213803250264e-06,""Déclin modéré à fort"",""Déclin modéré"""
"107,""Bouvreuil pivoine"",""PYRPYR"",2014,2023,-0.0780850155261217,0.0151188494276741,-0.107717960404363,-0.0484520706478804,0.924885793548733,0.897880798659614,0.95270300064915,""-50.5%"",""-62.1%"",""-35.3%"",2.40765775206463e-07,""Déclin fort"",""Déclin modéré"""
"108,""Roitelet huppé"",""REGREG"",2014,2023,-0.0801383357748704,0.0136043329793274,-0.106802828414352,-0.0534738431353886,0.922988655203896,0.898702854188969,0.947930735575439,""-51.4%"",""-61.8%"",""-38.2%"",3.84684357578199e-09,""Déclin fort"",""Fort déclin"""
"109,""Cochevis huppé"",""GALCRI"",2014,2023,-0.129721495708387,0.0466154629461199,-0.221087803082782,-0.0383551883339926,0.878340018324258,0.801646290184427,0.962371057205754,""-68.9%"",""-86.3%"",""-29.2%"",0.00538920678798072,""Déclin modéré à fort"",""Déclin modéré"""
"110,""Moineau friquet"",""PASMON"",2014,2023,-0.174522709855086,0.0518880346426176,-0.276223257754617,-0.072822161955556,0.839857780964137,0.758643538799883,0.929766163120339,""-79.2%"",""-91.7%"",""-48.1%"",0.000769753173342101,""Déclin fort"",""Fort déclin"""
"111,""Bernache du Canada"",""BRACAN"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"112,""Grive mauvis"",""TURILI"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
