"","french_name","species","minYear","maxYear","estimate","se","infIC","supIC","GR","infGR","supGR","perc","infPerc","supPerc","pval","trend","trendEBCC"
"35","Pic épeichette","DENMIN",2014,2023,0.0370062993107602,0.012885248723817,0.0117512118120788,0.0622613868094414,1.03769955760956,1.01182052855408,1.06424048680044,"+39.5%","+11.2%","+75.1%",0.00407896492644672,"Augmentation modérée à forte","Augmentation modérée"
"36","Moineau domestique","PASDOM",2014,2023,0.0369224750834927,0.00314433465552697,0.0307595791586597,0.0430853710083256,1.0376125768916,1.03123754308251,1.04402702068565,"+39.4%","+31.9%","+47.4%",7.71345959515573e-32,"Augmentation forte","Augmentation modérée"
"37","Rougegorge familier","ERIRUB",2014,2023,0.0365889236124408,0.00227433319704454,0.0321312305462335,0.0410466166786481,1.0372665374044,1.03265301203245,1.04190067436233,"+39%","+33.5%","+44.7%",3.10889927992365e-58,"Augmentation forte","Augmentation modérée"
"38","Pigeon ramier","COLPAL",2014,2023,0.0362755288840227,0.00240418595759508,0.0315633244071363,0.0409877333609091,1.03694151447251,1.03206672854012,1.0418393256001,"+38.6%","+32.9%","+44.6%",1.9281271934165e-51,"Augmentation forte","Augmentation modérée"
"39","Linotte mélodieuse","CARCAN",2014,2023,0.033265526515753,0.00665802014389084,0.0202158070337269,0.046315245997779,1.03382501075296,1.02042153041021,1.04740454900898,"+34.9%","+20%","+51.7%",5.84379729711331e-07,"Augmentation modérée à forte","Augmentation modérée"
"40","Torcol fourmilier","JYNTOR",2014,2023,0.0319648004610487,0.0120551862929296,0.00833663532690676,0.0555929655951905,1.03248116180461,1.0083714818381,1.05716729269081,"+33.3%","+7.8%","+64.9%",0.00801257829695843,"Augmentation modérée à forte","Augmentation modérée"
"41","Pic noir","DRYMAR",2014,2023,0.0317669063343889,0.00763087024575862,0.0168104006527021,0.0467234120160758,1.03227686006253,1.01695249051699,1.04783215121371,"+33.1%","+16.3%","+52.3%",3.1416668185861e-05,"Augmentation modérée à forte","Augmentation modérée"
"42","Bihoreau gris","NYCNYC",2014,2023,0.0306149809938522,0.0562165066083254,-0.0795693719584657,0.14079933394617,1.03108843880667,0.923513951774859,1.15119361932493,"+31.7%","-51.1%","+255.1%",0.586035122052065,"Incertain","Incertain"
"43","Cygne tuberculé","CYGOLO",2014,2023,0.0280492894286824,0.0277743773989964,-0.0263884902733504,0.0824870691307154,1.02844637470641,0.973956643419544,1.08598463062296,"+28.7%","-21.1%","+110.1%",0.312544139553921,"Incertain","Incertain"
"44","Sterne pierregarin","STEHIR",2014,2023,0.0271221928643574,0.0403937446186706,-0.0520495465882371,0.106293932316952,1.02749334744823,0.94928183200164,1.11214872492003,"+27.6%","-37.4%","+160.3%",0.501936849309529,"Incertain","Incertain"
"45","Loriot d'Europe","ORIORI",2014,2023,0.0271129862389963,0.00428608525670262,0.0187122591358593,0.0355137133421335,1.02748388774547,1.01888843059654,1.03615185713556,"+27.6%","+18.3%","+37.7%",2.51898009481686e-10,"Augmentation modérée","Augmentation modérée"
"46","Grive sp","GRIVES",2014,2023,0.0248563035930455,0.0531364693768108,-0.0792911763855037,0.129003783571595,1.0251677970108,0.92377090500778,1.13769442870591,"+25.1%","-51%","+219.3%",0.639940229245192,"Incertain","Incertain"
"47","Rousserolle verderolle","ACRRIS",2014,2023,0.0248503445906931,0.0259256703909009,-0.0259639693754727,0.075664658556859,1.02516168805168,0.974370196142978,1.07860081395056,"+25.1%","-20.8%","+97.6%",0.337799230905668,"Incertain","Incertain"
"48","Faucon crécerelle","FALTIN",2014,2023,0.0221431423905546,0.00517472441060277,0.0120006825457731,0.0322856022353359,1.02239012136273,1.01207297965198,1.03281243672719,"+22.1%","+11.4%","+33.7%",1.87653939988198e-05,"Augmentation modérée","Augmentation modérée"
"49","Grimpereau des jardins","CERBRA",2014,2023,0.0219429775698348,0.00356775625358617,0.014950175312806,0.0289357798268637,1.02218549530754,1.0150624881848,1.02935848677219,"+21.8%","+14.4%","+29.7%",7.73083349969138e-10,"Augmentation modérée","Augmentation modérée"
"50","Bergeronnette des ruisseaux","MOTCIN",2014,2023,0.0218019867238392,0.0128064545192335,-0.00329866413385837,0.0469026375815371,1.02204138666903,0.996706770481377,1.04801996635365,"+21.7%","-2.9%","+52.5%",0.0886763355202738,"Incertain","Stable"
"51","Héron pourpré","ARDPUR",2014,2023,0.0213909924668492,0.05056461640759,-0.0777156556920273,0.120497640625726,1.02162141983659,0.925227472309315,1.12805807945141,"+21.2%","-50.3%","+195.8%",0.672264098419315,"Incertain","Incertain"
